idshopi,id_variant,sku_variant,barcode_shopi,inventoryquantity_shopi,inventoryitemid,inventorylevelsid,id_products,title_shopi,tags_shopi,vendor_shopi,status_shopi,published_shopi,sku_shopi,sku,tags,sku.1,margen_db,costo_db,margen_comparacion_db,duplicate,pausa,precio,precio_comparacion
8562743607573,gid://shopify/ProductVariant/46297439797525,466911,39797525,30,gid://shopify/InventoryItem/48351844368661,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48351844368661,8562743607573,Lavamanos Cristal Naranja+Griferia Monocontrol,"['Baños', 'Grifería Lavamanos', 'Kit', 'Lavamanos']",Pamo,DRAFT,DRAFT,466911,466911,MercadoLibre,466911,0.0,0,0.0,,,0.0,0.0
8563261079829,gid://shopify/ProductVariant/47695770747157,473392,,22,gid://shopify/InventoryItem/49672241905941,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49672241905941,8563261079829,Conjunto De Grifería Mezcladora+Regadera 20X20,"['Baños', 'Kits Duchas']",PAMO,ACTIVE,ACTIVE,473392,473392,MercadoLibre,473392,0.0,0,0.0,,,0.0,0.0
8545548402965,gid://shopify/ProductVariant/46227192250645,1-102,0,23,gid://shopify/InventoryItem/48281414435093,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281414435093,8545548402965,Acoples plásticos para Lavamanos 120,['Plomería'],PAMO,ACTIVE,ACTIVE,1-102,1-102,MercadoLibre,1-102,0.0,0,0.0,,,0.0,0.0
8545552269589,gid://shopify/ProductVariant/46227200246037,16162098,7706829703995,5,gid://shopify/InventoryItem/48281422430485,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281422430485,8545552269589,Registro Ducha Medio Paso De Palanca,"['Baños', 'Grifería Ducha', 'Sencilla']",UNITEC,DRAFT,DRAFT,16162098,16162098,MercadoLibre,16162098,0.0,0,0.0,,,0.0,0.0
8545545552149,gid://shopify/ProductVariant/46227186024725,01-1702-11,0,-7,gid://shopify/InventoryItem/48281408209173,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281408209173,8545545552149,"Grifería Mezclador 4"" Helix Pala Cromada","['Baños', 'grifería', 'Grifería Baños']",Pamo,ACTIVE,ACTIVE,01-1702-11,01-1702-11,MercadoLibre,01-1702-11,0.0,0,0.0,,,0.0,0.0
7602895388838,gid://shopify/ProductVariant/47926269280533,YW120,7707180677857,5,gid://shopify/InventoryItem/49903494463765,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903494463765,7602895388838,Llave Lavamanos De Sensor Cuello Recto,"['grifería', 'Institucional', 'Sensor']",PAMO-2,ACTIVE,ACTIVE,YW120,YW120,MercadoLibre,YW120,0.0,0,0.0,,,0.0,0.0
8096203079957,gid://shopify/ProductVariant/47926259679509,JYN112,7707180672173,9,gid://shopify/InventoryItem/49903484862741,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903484862741,8096203079957,Griferia Llave Individual Para Lavamanos Cromada,"['Baños', 'Grifería Lavamanos', 'Sencilla']",BOCCHERINI,ACTIVE,ACTIVE,JYN112,JYN112,MercadoLibre,JYN112,0.0,0,0.0,,,0.0,0.0
8545600045333,gid://shopify/ProductVariant/46227316736277,HS-2138+2,HS-2138+2,3,gid://shopify/InventoryItem/48281538920725,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281538920725,8545600045333,Cuello Lavamanos Metálico Pared Cuadrado Curvo,"['Baños', 'Grifería Lavamanos', 'Sencilla']",PAMO,ACTIVE,ACTIVE,HS-2138+2,HS-2138+2,MercadoLibre,HS-2138+2,0.0,0,0.0,,,0.0,0.0
8545600340245,gid://shopify/ProductVariant/46227317195029,HS-2144+2N,HS-2144+2N,0,gid://shopify/InventoryItem/48281539379477,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281539379477,8545600340245,Pico para Tina Negro de 1/2 de 19 cm,"['Accesorios Baño', 'Baños']",PAMO,ACTIVE,ACTIVE,HS-2144+2N,HS-2144+2N,MercadoLibre,HS-2144+2N,0.0,0,0.0,,,0.0,0.0
8545608728853,gid://shopify/ProductVariant/46227351732501,KTL1854,KTL1854,0,gid://shopify/InventoryItem/48281573916949,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281573916949,8545608728853,Grifería Linx 29x17cm Cromada,"['Cocina', 'Grifería Cocinas', 'Sencilla']",PAMO,ACTIVE,ACTIVE,KTL1854,KTL1854,MercadoLibre,KTL1854,0.0,0,0.0,,,0.0,0.0
8405703491861,gid://shopify/ProductVariant/45471230591253,TC-22A-616,TC-22A-616,15,gid://shopify/InventoryItem/47524184490261,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47524184490261,8405703491861,Grifería Lavamanos Monocontrol Cascada Original Pamo,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,ACTIVE,ACTIVE,TC-22A-616,TC-22A-616,MercadoLibre,TC-22A-616,0.0,0,0.0,,,0.0,0.0
8576615350549,gid://shopify/ProductVariant/46341233869077,HS-3213N,33869077,5,gid://shopify/InventoryItem/48395852710165,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48395852710165,8576615350549,Grifo Monocontrol Lavamanos  Bajo Cuello Cuervo Negro,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,ACTIVE,ACTIVE,HS-3213N,HS-3213N,MercadoLibre,HS-3213N,0.0,0,0.0,,,0.0,0.0
8641937375509,gid://shopify/ProductVariant/46477852213525,GRI-417A,GRI-417A,18,gid://shopify/InventoryItem/48532612350229,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48532612350229,8641937375509,Grifería Monocontrol Satín Lavamanos Poste Alto,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,ACTIVE,ACTIVE,GRI-417A,GRI-417A,MercadoLibre,GRI-417A,0.0,0,0.0,,,0.0,0.0
